Suburb,State,Postcode,Lat,Lng,Bounds_N,Bounds_E,Bounds_S,Bounds_W
Altona North,VIC,3025,-37.8388686,144.8346241,-37.8242699,144.8671027,-37.852412,144.785132
Alyangula,NT,0885,-13.8528647,136.4224871,-13.8397869,136.432565,-13.862211,136.408878
Amaroo,ACT,2914,-35.1615038,149.1386215,-35.1244158,149.2007159,-35.2308919,149.0624075
Amaroo,NSW,2866,-32.9287927,148.96649,-32.8003518,149.2818694,-33.2422712,148.7038887
Amaroo,QLD,4829,-23.5827727,139.6911374,-22.1354629,141.1222568,-25.3749485,137.9969533
Ambania,WA,6632,-28.6436587,115.2363408,-28.4097929,115.4523131,-28.8483245,115.0507795
Ambarvale,NSW,2560,-34.2364674,150.8144215,-34.0343676,150.9345202,-34.3952703,150.7187812
Ambleside,TAS,7310,-41.3586159,146.2018576,-41.1540494,146.4179412,-41.5497955,146.0394155
Ambrose,QLD,4695,-23.810368,150.9783868,-23.4990804,151.0917512,-23.9907397,150.818236
Amby,QLD,4462,-26.5491999,148.1871278,-26.4550347,148.3527045,-26.8525843,148.0122608
American River,SA,5221,-35.7676396,137.7538931,-35.7301776,137.8044047,-35.8419445,137.705307
Amherst,VIC,3371,-37.2153546,143.6718623,-37.108574,143.8118863,-37.316476,143.536086
Amity Point,QLD,4183,-27.4999713,153.4000698,-27.3880981,153.5467077,-27.7437625,153.3894685
Amoonguna,NT,0873,-23.7783845,133.8482142,-23.724572,133.9404529,-23.8315332,133.7412371
Amor,VIC,3825,-38.0474021,146.2929381,-37.5800006,146.6469101,-38.2569347,146.0489688
Amphitheatre,VIC,3468,-37.1974706,143.4122052,-37.1313229,143.5060369,-37.304057,143.3136808
Anakie,VIC,3213,-37.9873525,144.2811537,-37.8666593,144.37131,-38.1165682,144.1867371
Anama,SA,5464,-33.6765832,138.3589086,-33.4730154,138.5907267,-33.8727748,138.2587158
Anambah,NSW,2320,-32.7147232,151.5369624,-32.5613375,151.7649849,-32.8382182,151.2088018
Ancona,VIC,3715,-36.9771194,145.7356129,-36.9103548,145.8652969,-37.1081959,145.614486
Andover,TAS,7120,-42.3702085,147.592724,-42.0714597,147.8565314,-42.5856582,147.1827978
Andrews,SA,5454,-33.4777612,138.598804,-33.324032,138.7343281,-33.6591475,138.5262996
Anembo,NSW,2621,-35.4176011,149.4490642,-35.1221184,149.5779774,-35.8651907,149.2523577
Angas Plains,SA,5255,-35.2657984,139.0009403,-35.1128207,139.382409,-35.4717124,138.6429389
